time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,precipitation,snowfall,cloudcover,latitude,longitude
2025-12-10 06:00:00,4.8,58,8.1,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 07:00:00,4.7,55,8.4,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 08:00:00,4.8,50,8.8,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 09:00:00,5.9,52,6.6,53.8,0.0,0.0,0,44.0,7.1
2025-12-10 10:00:00,8.0,61,3.8,188.8,0.0,0.0,0,44.0,7.1
2025-12-10 11:00:00,9.9,57,3.0,306.8,0.0,0.0,0,44.0,7.1
2025-12-10 12:00:00,10.0,52,3.4,380.8,0.0,0.0,0,44.0,7.1
2025-12-10 13:00:00,10.8,48,5.1,402.8,0.0,0.0,0,44.0,7.1
2025-12-10 14:00:00,10.4,51,3.6,369.5,0.0,0.0,0,44.0,7.1
2025-12-10 15:00:00,9.7,56,3.3,285.0,0.0,0.0,0,44.0,7.1
2025-12-10 16:00:00,8.5,69,2.3,160.8,0.0,0.0,0,44.0,7.1
2025-12-10 17:00:00,6.6,73,2.9,32.2,0.0,0.0,0,44.0,7.1
2025-12-10 18:00:00,4.8,74,9.9,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 19:00:00,5.5,71,7.3,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 20:00:00,5.5,71,7.4,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 21:00:00,5.2,74,7.8,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 22:00:00,5.1,74,7.0,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 23:00:00,5.0,72,6.9,0.0,0.0,0.0,0,44.0,7.1
2025-12-10 00:00:00,4.8,43,5.0,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 01:00:00,4.0,47,4.7,0.0,0.0,0.0,0,44.0,7.4
2025-12-10 02:00:00,3.4,47,4.1,0.0,0.0,0.0,0,44.0,7.4
